"Team","Name","Characters","Wins","Losses","Draws","Total Played","Win %","Score","Last Match"
"","Luffy","","0","1","0","1","0","0","04/12/2014 12:00:00 AM"
"","Extra1","","0","0","0","0","0","0","01/01/0001 12:00:00 AM"
"","Extra3","","0","0","0","0","0","0","01/01/0001 12:00:00 AM"
"","Vecktor","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","Dongler","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","MICH","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","Zeastau","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","RedSkyHypnosis","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","Odat","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","Popplestone","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","Piers","","0","6","0","6","0","0","04/12/2014 12:00:00 AM"
"","YungBlud","","0","6","0","6","0","0","04/12/2014 12:00:00 AM"
"","pop","","0","7","0","7","0","0","04/12/2014 12:00:00 AM"
"","Diaz","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","Thai","","0","5","0","5","0","0","04/12/2014 12:00:00 AM"
"","Caramel","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","SRC_CODE","","0","6","0","6","0","0","04/12/2014 12:00:00 AM"
"","Cryo-chill","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","Pitri","","0","4","0","4","0","0","04/12/2014 12:00:00 AM"
"","Hampus","","0","7","0","7","0","0","04/12/2014 12:00:00 AM"
"","Joey R","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","Trangulation","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","CM Punk","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","Sn896","","0","7","0","7","0","0","04/12/2014 12:00:00 AM"
"","Kegwrecker","","0","8","0","8","0","0","04/12/2014 12:00:00 AM"
"","Ritherz","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","DylanLan","","0","4","0","4","0","0","06/12/2014 12:00:00 AM"
"","DV8","","0","4","0","4","0","0","04/12/2014 12:00:00 AM"
"","Coach Lau Senpai","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","Test Subject","","0","10","0","10","0","0","04/12/2014 12:00:00 AM"
"","Alex Shuba","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","Solar","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","Chai","","0","9","0","9","0","0","04/12/2014 12:00:00 AM"
"","Stephano","","0","5","0","5","0","0","04/12/2014 12:00:00 AM"
"","yield","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","BlackEyes","","0","6","0","6","0","0","04/12/2014 12:00:00 AM"
"","Oreo","","0","6","0","6","0","0","04/12/2014 12:00:00 AM"
"","Mormra","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","Lo","","0","6","0","6","0","0","04/12/2014 12:00:00 AM"
"","Ecch","","0","5","0","5","0","0","04/12/2014 12:00:00 AM"
"","Antawn","","0","5","0","5","0","0","04/12/2014 12:00:00 AM"
"","VinceL","","0","7","0","7","0","0","04/12/2014 12:00:00 AM"
"","Double Oh Seven","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","Mark","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","JBJFUN","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","Rania","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","Hareak","","0","4","0","4","0","0","04/12/2014 12:00:00 AM"
"","Blaine","","0","5","0","5","0","0","04/12/2014 12:00:00 AM"
"","Reguls","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","T-REX","","0","7","0","7","0","0","04/12/2014 12:00:00 AM"
"","Leah","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","Kempta","","1","6","0","7","14","0","04/12/2014 12:00:00 AM"
"","Hunnehbuns","","0","7","0","7","0","0","04/12/2014 12:00:00 AM"
"","MultiPlatGamer","","0","5","0","5","0","0","04/12/2014 12:00:00 AM"
"","Corpse","","0","1","0","1","0","0","04/12/2014 12:00:00 AM"
"","Bulby","","0","6","0","6","0","0","04/12/2014 12:00:00 AM"
"","CameronS","","0","6","0","6","0","0","04/12/2014 12:00:00 AM"
"","New Guy","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","Cougar","","0","9","0","9","0","0","04/12/2014 12:00:00 AM"
"","Dan?","","0","4","0","4","0","0","04/12/2014 12:00:00 AM"
"","AWildStaryu","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
"","Sterling","","0","5","0","5","0","0","21/12/2014 12:00:00 AM"
"","I suck at this game","","0","5","0","5","0","0","21/12/2014 12:00:00 AM"
"","SBZ Kill","","0","5","0","5","0","0","21/12/2014 12:00:00 AM"
"","Superloli","","0","2","0","2","0","0","06/12/2014 12:00:00 AM"
